prefecture,year,month,positive,death,population,gdo,gdp,mobility,credit_all,credit_service,pos,travel,eventticket,restaurant_info,joboffer,event_info,travel_info,movie_info
Hiroshima,2020,6,1,0,2817000,92.864799,89.73786532678831,-11.25,,,,,,,,,,
Hiroshima,2020,7,161,0,2817000,93.444283,91.83039915079884,-10.5,,,,,,,,,,
Hiroshima,2020,8,129,0,2817000,94.9702,92.97172953953562,-10.25,,,,,,,,,,
Hiroshima,2020,9,119,0,2817000,96.761917,95.59478624001865,-8,,,,,,,,,,
Hiroshima,2020,10,85,2,2817000,98.275749,98.06374621911299,-5,,,,,,,,,,
Hiroshima,2020,11,195,1,2817000,97.757706,97.54902878779191,-3.875,,,,,,,,,,
Hiroshima,2020,12,2462,29,2817000,97.373085,96.43894345059167,-13.75,,,,,,,,,,
Hiroshima,2021,1,1497,57,2817000,,96.61123741747132,-21.75,,,,,,,,,,
Hiroshima,2021,2,209,10,2817000,,,-18.25,,,,,,,,,,
Hiroshima,2021,3,62,1,2817000,,,-13.25,,,,,,,,,,
Hokkaido,2020,1,1,0,5286000,101.48499,100.7863534584965,,,,,,,,,,,
Hokkaido,2020,2,69,2,5286000,100.79387,100.1267313264316,-6,,,,,,,,,,
Hokkaido,2020,3,107,5,5286000,95.902832,96.0089015167876,-16.5,,,,,,,,,,
Hokkaido,2020,4,590,22,5286000,92.876381,88.63409981703582,-18,,,,,,,,,,
Hokkaido,2020,5,324,57,5286000,91.425774,85.96672664797644,-19.25,,,,,,,,,,
Hokkaido,2020,6,172,13,5286000,96.429871,93.43314929765025,-7.375,,,,,,,,,,
Hokkaido,2020,7,165,4,5286000,96.324409,93.82468427612727,1,,,,,,,,,,
Hokkaido,2020,8,353,0,5286000,97.168327,94.59598577793808,1.75,,,,,,,,,,
Hokkaido,2020,9,326,4,5286000,98.814972,96.55931175826105,.75,,,,,,,,,,
Hokkaido,2020,10,1029,3,5286000,100.18781,98.39000428751845,1,,,,,,,,,,
Hokkaido,2020,11,5732,84,5286000,99.698273,97.43313830526496,-12.375,,,,,,,,,,
Hokkaido,2020,12,4570,259,5286000,98.847412,96.40360280830329,-16.25,,,,,,,,,,
Hokkaido,2021,1,4007,149,5286000,,95.59299439750581,-22.5,,,,,,,,,,
Hokkaido,2021,2,1648,75,5286000,,,-22,,,,,,,,,,
Hokkaido,2021,3,1278,54,5286000,,,-19.25,,,,,,,,,,
Hyogo,2020,1,0,0,5484000,101.81701,101.1629742797392,,,,,,,,,,,
Hyogo,2020,2,0,0,5484000,100.74243,100.5553327584435,-.5,,,,,,,,,,
Hyogo,2020,3,148,11,5484000,96.650032,96.05253988472076,-4.5,,,,,,,,,,
Hyogo,2020,4,498,16,5484000,89.380257,87.76936698168373,-20.875,,,,,,,,,,
Hyogo,2020,5,53,15,5484000,86.078323,84.13026973500378,-21,,,,,,,,,,
Hyogo,2020,6,7,3,5484000,92.564789,91.10841805519298,-11,,,,,,,,,,
Hyogo,2020,7,514,0,5484000,93.444801,92.35743097069475,-10.75,,,,,,,,,,
Hyogo,2020,8,1055,8,5484000,94.262917,93.03409540935264,-11.25,,,,,,,,,,
Hyogo,2020,9,442,6,5484000,95.883171,95.17999955383824,-9.875,,,,,,,,,,
Hyogo,2020,10,533,4,5484000,97.096352,97.75168853982689,-6.5,,,,,,,,,,
Hyogo,2020,11,2372,18,5484000,97.162735,97.36542866443081,-6.25,,,,,,,,,,
Hyogo,2020,12,4378,130,5484000,96.316437,96.08653514165779,-12.25,,,,,,,,,,
Hyogo,2021,1,6466,191,5484000,,96.45172694496657,-21,,,,,,,,,,
Hyogo,2021,2,1502,128,5484000,,,-17.75,,,,,,,,,,
Hyogo,2021,3,937,42,5484000,,,-12.25,,,,,,,,,,
Ibaraki,2020,1,0,0,2877000,101.63344,101.6701941050367,,,,,,,,,,,
Ibaraki,2020,2,0,0,2877000,100.93187,101.2893000611089,-.5,,,,,,,,,,
Ibaraki,2020,3,24,0,2877000,98.050453,97.26152063362056,-3,,,,,,,,,,
Ibaraki,2020,4,139,7,2877000,92.142426,90.06051327788177,-19.625,,,,,,,,,,
Ibaraki,2020,5,5,3,2877000,88.222473,85.91697739539705,-21,,,,,,,,,,
Ibaraki,2020,6,6,0,2877000,93.51413,91.88734922764841,-10,,,,,,,,,,
Ibaraki,2020,7,120,0,2877000,94.51062,93.38211630283602,-11.25,,,,,,,,,,
Ibaraki,2020,8,251,3,2877000,96.231323,93.90251009925213,-10,,,,,,,,,,
Ibaraki,2020,9,112,4,2877000,97.715958,95.85475650569728,-9.25,,,,,,,,,,
